"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2018","3.300","3.390","3.410","3.290","8.46M","-2.08%"
"Sep 20, 2018","3.370","3.430","3.430","3.350","8.37M","-1.46%"
"Sep 19, 2018","3.420","3.420","3.450","3.400","2.98M","0.00%"
"Sep 18, 2018","3.420","3.430","3.490","3.380","3.18M","0.00%"
"Sep 14, 2018","3.420","3.390","3.450","3.390","3.08M","0.29%"
"Sep 13, 2018","3.410","3.430","3.450","3.340","4.62M","0.29%"
"Sep 12, 2018","3.400","3.660","3.680","3.300","9.81M","-6.85%"
"Sep 07, 2018","3.650","3.560","3.690","3.540","4.69M","3.11%"
"Sep 06, 2018","3.540","3.600","3.610","3.530","3.74M","-0.84%"
"Sep 05, 2018","3.570","3.670","3.700","3.570","7.69M","-2.19%"
"Sep 04, 2018","3.650","3.700","3.700","3.620","4.20M","-1.35%"
"Sep 03, 2018","3.700","3.700","3.700","3.610","1.81M","0.00%"
"Aug 30, 2018","3.700","3.710","3.710","3.670","3.23M","-0.27%"
"Aug 29, 2018","3.710","3.750","3.790","3.660","3.09M","-1.07%"
"Aug 28, 2018","3.750","3.850","3.850","3.710","2.87M","-2.60%"
"Aug 27, 2018","3.850","3.780","3.850","3.730","2.17M","2.12%"
"Aug 24, 2018","3.770","3.760","3.780","3.720","1.21M","-0.53%"
"Aug 23, 2018","3.790","3.780","3.790","3.700","3.18M","0.00%"
"Aug 21, 2018","3.790","3.670","3.790","3.650","3.30M","3.27%"
"Aug 20, 2018","3.670","3.680","3.690","3.660","1.28M","-0.27%"
"Aug 17, 2018","3.680","3.660","3.680","3.630","2.79M","1.38%"
"Aug 16, 2018","3.630","3.620","3.670","3.590","2.12M","0.00%"
"Aug 15, 2018","3.630","3.610","3.630","3.580","1.91M","1.11%"
"Aug 14, 2018","3.590","3.650","3.690","3.530","7.59M","-1.64%"
"Aug 13, 2018","3.650","3.710","3.730","3.640","6.12M","-1.08%"
"Aug 10, 2018","3.690","3.740","3.790","3.690","5.73M","-0.54%"
"Aug 09, 2018","3.710","3.850","3.860","3.710","4.55M","-3.64%"
"Aug 08, 2018","3.850","3.760","3.870","3.760","5.48M","2.39%"
"Aug 07, 2018","3.760","3.720","3.790","3.680","7.03M","1.08%"
"Aug 06, 2018","3.720","3.840","3.860","3.670","15.36M","-4.12%"
"Aug 02, 2018","3.880","3.900","3.910","3.860","4.52M","0.00%"
"Aug 01, 2018","3.880","3.890","3.910","3.850","5.84M","0.26%"
"Jul 31, 2018","3.870","3.910","3.960","3.870","15.62M","-1.28%"
"Jul 30, 2018","3.920","3.940","3.960","3.900","4.68M","0.00%"
"Jul 27, 2018","3.920","3.900","3.940","3.880","5.43M","0.51%"
"Jul 26, 2018","3.900","3.940","3.980","3.870","4.96M","-0.76%"
"Jul 25, 2018","3.930","3.880","3.970","3.880","9.33M","2.08%"
"Jul 24, 2018","3.850","3.920","4.040","3.850","13.58M","-1.28%"
"Jul 23, 2018","3.900","3.690","4.020","3.680","15.81M","5.98%"
"Jul 20, 2018","3.680","3.760","3.760","3.640","7.56M","-1.87%"
"Jul 19, 2018","3.750","3.550","3.880","3.530","17.91M","4.75%"
"Jul 18, 2018","3.580","3.530","3.580","3.470","12.98M","1.42%"
"Jul 17, 2018","3.530","3.530","3.570","3.500","8.79M","0.28%"
"Jul 16, 2018","3.520","3.480","3.520","3.400","4.39M","1.15%"
"Jul 13, 2018","3.480","3.430","3.490","3.330","6.79M","2.96%"
"Jul 12, 2018","3.380","3.150","3.440","3.140","11.71M","5.30%"
"Jul 11, 2018","3.210","3.320","3.320","3.190","11.66M","-3.31%"
"Jul 10, 2018","3.320","3.370","3.380","3.300","3.77M","-0.30%"
"Jul 09, 2018","3.330","3.350","3.370","3.270","6.55M","-0.60%"
"Jul 06, 2018","3.350","3.460","3.500","3.350","7.38M","-3.46%"
"Jul 05, 2018","3.470","3.410","3.510","3.340","5.43M","0.87%"
"Jul 04, 2018","3.440","3.240","3.440","3.220","5.20M","6.17%"
"Jul 03, 2018","3.240","3.260","3.280","3.200","2.22M","0.00%"
"Jul 02, 2018","3.240","3.280","3.320","3.230","1.28M","-0.92%"
"Jun 29, 2018","3.270","3.240","3.300","3.230","4.80M","1.24%"
"Jun 28, 2018","3.230","3.250","3.280","3.220","5.99M","0.31%"
"Jun 27, 2018","3.220","3.220","3.250","3.190","6.70M","0.94%"
"Jun 26, 2018","3.190","3.210","3.240","3.140","3.17M","0.00%"
"Jun 25, 2018","3.190","3.290","3.300","3.180","6.83M","-2.15%"
"Jun 22, 2018","3.260","3.220","3.360","3.190","10.02M","1.24%"
"Jun 21, 2018","3.220","3.310","3.330","3.200","4.40M","-1.83%"
"Jun 20, 2018","3.280","3.300","3.400","3.280","6.76M","-0.61%"
"Jun 19, 2018","3.300","3.460","3.460","3.300","5.92M","-4.35%"
"Jun 18, 2018","3.450","3.400","3.510","3.350","5.90M","-1.43%"
"Jun 14, 2018","3.500","3.520","3.580","3.440","11.17M","-2.23%"
"Jun 13, 2018","3.580","3.590","3.620","3.530","8.63M","1.42%"
"Jun 12, 2018","3.530","3.410","3.610","3.400","4.73M","3.82%"
"Jun 11, 2018","3.400","3.570","3.590","3.400","5.85M","-3.95%"
"Jun 08, 2018","3.540","3.630","3.720","3.540","4.64M","-2.48%"
"Jun 07, 2018","3.630","3.600","3.740","3.580","5.24M","2.25%"
"Jun 06, 2018","3.550","3.620","3.650","3.550","10.79M","-1.93%"
"Jun 05, 2018","3.620","3.570","3.640","3.560","16.37M","1.97%"
"Jun 04, 2018","3.550","3.480","3.610","3.450","7.28M","2.90%"
"Jun 01, 2018","3.450","3.350","3.490","3.330","9.11M","3.29%"
"May 31, 2018","3.340","3.330","3.380","3.200","30.96M","5.03%"
"May 30, 2018","3.180","3.970","3.970","3.000","32.82M","-23.00%"
"May 28, 2018","4.130","4.160","4.230","4.120","1.32M","-1.90%"
"May 25, 2018","4.210","4.210","4.250","4.110","2.26M","0.24%"
"May 24, 2018","4.200","4.240","4.260","4.100","4.86M","-0.94%"
"May 23, 2018","4.240","4.270","4.310","4.170","10.69M","-0.70%"
"May 22, 2018","4.270","4.120","4.320","4.120","13.29M","4.15%"
"May 21, 2018","4.100","4.100","4.120","3.970","9.50M","0.24%"
"May 18, 2018","4.090","4.350","4.390","3.970","26.99M","-5.54%"
"May 17, 2018","4.330","4.540","4.540","4.330","30.11M","-3.78%"
"May 16, 2018","4.500","4.480","4.520","4.380","21.16M","0.00%"
"May 15, 2018","4.500","4.200","4.620","4.190","43.67M","6.89%"
"May 14, 2018","4.210","4.580","4.580","4.110","62.30M","-17.45%"
"May 08, 2018","5.100","5.070","5.120","5.020","6.87M","0.59%"
"May 07, 2018","5.070","5.090","5.100","5.010","2.65M","-0.39%"
"May 04, 2018","5.090","5.120","5.120","5.060","4.37M","-0.20%"
"May 03, 2018","5.100","5.090","5.150","5.080","5.60M","-0.20%"
"May 02, 2018","5.110","5.060","5.160","5.060","4.20M","-0.58%"
"Apr 30, 2018","5.140","5.200","5.200","5.090","4.15M","0.19%"
"Apr 27, 2018","5.130","5.120","5.150","5.100","2.45M","0.20%"
"Apr 26, 2018","5.120","5.100","5.140","5.050","8.38M","0.79%"
"Apr 25, 2018","5.080","5.010","5.080","5.010","2.72M","0.79%"
"Apr 24, 2018","5.040","5.020","5.080","5.010","3.24M","-0.20%"
"Apr 23, 2018","5.050","5.060","5.140","5.050","620.70K","-1.17%"
"Apr 20, 2018","5.110","5.200","5.200","5.060","3.61M","-1.16%"
"Apr 19, 2018","5.170","5.150","5.170","5.070","4.37M","0.78%"
"Apr 18, 2018","5.130","5.120","5.150","5.100","2.98M","0.59%"
"Apr 17, 2018","5.100","5.150","5.150","5.050","5.40M","-0.39%"
"Apr 16, 2018","5.120","5.110","5.180","5.100","6.49M","0.00%"
"Apr 13, 2018","5.120","5.160","5.240","5.120","9.11M","-0.97%"
"Apr 12, 2018","5.170","5.140","5.180","5.120","4.39M","0.39%"
"Apr 11, 2018","5.150","5.130","5.160","5.120","6.55M","0.39%"
"Apr 10, 2018","5.130","5.100","5.130","5.100","4.12M","0.20%"
"Apr 09, 2018","5.120","5.090","5.140","5.080","7.09M","0.59%"
"Apr 06, 2018","5.090","5.070","5.090","5.020","9.60M","2.41%"
"Apr 05, 2018","4.970","4.900","5.000","4.890","6.01M","2.47%"
"Apr 04, 2018","4.850","5.140","5.150","4.850","5.67M","-5.83%"
"Apr 03, 2018","5.150","5.190","5.190","5.120","4.09M","-0.39%"
"Apr 02, 2018","5.170","5.170","5.220","5.160","4.08M","-0.19%"
"Mar 30, 2018","5.180","5.130","5.210","5.130","4.64M","0.58%"
"Mar 29, 2018","5.150","5.110","5.200","5.080","6.78M","0.98%"
"Mar 28, 2018","5.100","5.140","5.140","5.090","4.40M","-0.78%"
"Mar 27, 2018","5.140","5.120","5.150","5.080","5.10M","0.59%"
"Mar 26, 2018","5.110","5.120","5.120","5.030","3.51M","-0.20%"
"Mar 23, 2018","5.120","5.040","5.120","5.010","2.15M","0.39%"
"Mar 22, 2018","5.100","5.070","5.110","5.070","3.54M","0.39%"
"Mar 21, 2018","5.080","5.070","5.080","5.050","3.32M","0.59%"
"Mar 20, 2018","5.050","5.020","5.060","5.000","4.96M","0.00%"
"Mar 19, 2018","5.050","5.000","5.080","5.000","5.82M","0.20%"
"Mar 16, 2018","5.040","5.010","5.120","4.990","12.16M","0.80%"
"Mar 15, 2018","5.000","5.000","5.020","4.970","4.61M","0.00%"
"Mar 14, 2018","5.000","5.000","5.020","4.970","1.82M","0.00%"
"Mar 13, 2018","5.000","5.020","5.020","4.980","2.74M","-0.99%"
"Mar 12, 2018","5.050","4.960","5.060","4.960","7.21M","2.02%"
"Mar 09, 2018","4.950","4.960","4.990","4.950","1.28M","-0.40%"
"Mar 08, 2018","4.970","5.060","5.060","4.960","2.38M","-1.78%"
"Mar 07, 2018","5.060","5.040","5.080","5.010","6.46M","-0.39%"
"Mar 06, 2018","5.080","5.070","5.120","5.020","4.72M","-0.39%"
"Mar 05, 2018","5.100","4.930","5.100","4.910","2.18M","3.24%"
"Mar 02, 2018","4.940","4.950","5.050","4.910","1.97M","-0.20%"
"Mar 01, 2018","4.950","4.950","5.010","4.900","3.48M","-0.20%"
"Feb 28, 2018","4.960","5.000","5.020","4.960","3.95M","-0.80%"
"Feb 27, 2018","5.000","4.980","5.040","4.980","3.34M","0.40%"
"Feb 26, 2018","4.980","5.060","5.080","4.980","1.24M","-1.58%"
"Feb 23, 2018","5.060","5.100","5.100","5.050","2.27M","0.00%"
"Feb 22, 2018","5.060","5.030","5.100","5.030","3.75M","0.00%"
"Feb 21, 2018","5.060","5.080","5.080","5.010","5.65M","0.20%"
"Feb 20, 2018","5.050","5.090","5.090","5.020","3.65M","-0.20%"
"Feb 19, 2018","5.060","5.020","5.120","5.020","2.41M","1.61%"
"Feb 15, 2018","4.980","4.980","5.000","4.960","1.17M","0.20%"
"Feb 14, 2018","4.970","4.950","5.020","4.940","2.04M","-0.40%"
"Feb 13, 2018","4.990","4.880","5.010","4.880","2.19M","2.89%"
"Feb 12, 2018","4.850","4.870","4.890","4.850","2.29M","0.00%"
"Feb 09, 2018","4.850","4.850","4.870","4.820","8.30M","-1.02%"
"Feb 08, 2018","4.900","4.930","4.990","4.900","2.96M","-1.01%"
"Feb 07, 2018","4.950","4.920","5.010","4.880","4.68M","1.85%"
"Feb 06, 2018","4.860","4.910","4.910","4.840","13.45M","-2.41%"
"Feb 05, 2018","4.980","5.100","5.100","4.940","4.09M","-3.11%"
"Feb 02, 2018","5.140","5.170","5.190","5.070","6.71M","0.39%"
"Jan 30, 2018","5.120","5.200","5.200","5.110","1.89M","-1.54%"
"Jan 29, 2018","5.200","5.230","5.230","5.160","1.08M","-0.57%"
"Jan 26, 2018","5.230","5.250","5.250","5.180","1.91M","-0.38%"
"Jan 25, 2018","5.250","5.180","5.250","5.180","4.74M","0.96%"
"Jan 24, 2018","5.200","5.250","5.270","5.190","8.38M","-1.14%"
"Jan 23, 2018","5.260","5.190","5.310","5.190","12.28M","1.94%"
"Jan 22, 2018","5.160","5.130","5.170","5.090","6.44M","1.18%"
"Jan 19, 2018","5.100","5.100","5.140","5.030","5.10M","0.59%"
"Jan 18, 2018","5.070","5.100","5.100","5.050","4.19M","-0.59%"
"Jan 17, 2018","5.100","5.100","5.150","5.030","3.75M","0.39%"
"Jan 16, 2018","5.080","5.100","5.100","5.010","2.85M","0.40%"
"Jan 15, 2018","5.060","5.190","5.190","5.060","2.56M","-1.94%"
"Jan 12, 2018","5.160","5.120","5.160","5.060","8.94M","0.78%"
"Jan 11, 2018","5.120","5.080","5.150","5.010","6.78M","1.19%"
"Jan 10, 2018","5.060","4.990","5.090","4.990","6.20M","1.20%"
"Jan 09, 2018","5.000","4.970","5.020","4.960","5.50M","0.40%"
"Jan 08, 2018","4.980","4.950","5.050","4.930","5.94M","0.61%"
"Jan 05, 2018","4.950","4.960","4.960","4.890","3.76M","-0.20%"
"Jan 04, 2018","4.960","4.960","4.990","4.930","3.35M","0.40%"
"Jan 03, 2018","4.940","4.860","4.960","4.850","2.99M","0.82%"
"Jan 02, 2018","4.900","4.960","4.980","4.880","4.24M","-1.21%"
"Dec 29, 2017","4.960","4.960","4.980","4.920","3.25M","0.20%"
"Dec 28, 2017","4.950","4.930","4.970","4.910","3.34M","0.00%"
"Dec 27, 2017","4.950","4.950","4.960","4.920","1.85M","0.00%"
"Dec 26, 2017","4.950","4.980","4.980","4.890","2.13M","-0.80%"
